Неизвестно (5147)	2	759	62
Неизвестно (5148)	Тинистый	760	62
Общие колиформные бактерии (ОКБ)	отс.	761	62
Неизвестно (1000)	Тинистый	762	18
Неизвестно (1001)	Тинистый	763	18
Запах при 20C	1	764	18
Неизвестно (1003)	20.5	765	18
Цветность	10	766	18
Мутность	0.84	767	18
Водородный показатель (pH)	7.1	768	18
Термотолерантные колиформные бактерии (ТКБ)	отс.	770	18
Общее микробное число (ОМЧ)	отс.	771	18
Остаточный хлор	0.20	772	18
Запах при 60C	1	773	18
Неизвестно (5147)	1	774	18
Неизвестно (5148)	Тинистый	775	18
Общие колиформные бактерии (ОКБ)	отс.	776	18
Неизвестно (1000)	Тинистый	777	22
Неизвестно (1001)	Тинистый	778	22
Запах при 20C	1	779	22
Неизвестно (1003)	17.9	780	22
Цветность	9	781	22
Запах при 20C	1	646	93
Цветность	10	676	72
Цветность	9	811	19
Мутность	0.42	782	22
Водородный показатель (pH)	7.4	783	22
Железо общее	<0.05	784	22
Термотолерантные колиформные бактерии (ТКБ)	отс.	785	22
Общее микробное число (ОМЧ)	отс.	786	22
Остаточный хлор	0.36	787	22
Запах при 60C	2	788	22
Неизвестно (5147)	1	789	22
Неизвестно (5148)	Тинистый	790	22
Общие колиформные бактерии (ОКБ)	отс.	791	22
Неизвестно (1000)	Хлорно-тинистый	792	9
Неизвестно (1001)	Хлорно-тинистый	793	9
Запах при 20C	1	794	9
Неизвестно (1003)	19.9	795	9
Цветность	8	796	9
Мутность	<0.30	797	9
Водородный показатель (pH)	7.1	798	9
Железо общее	0.06	799	9
Термотолерантные колиформные бактерии (ТКБ)	отс.	800	9
Общее микробное число (ОМЧ)	отс.	801	9
Остаточный хлор	0.76	802	9
Запах при 60C	1-2	803	9
Неизвестно (5147)	1	804	9
Неизвестно (5148)	Хлорно-тинистый	805	9
Общие колиформные бактерии (ОКБ)	отс.	806	9
Неизвестно (1000)	Тинистый	807	19
Неизвестно (1001)	Тинистый	808	19
Неизвестно (1003)	20.8	810	19
Железо общее	<0.05	814	19
Термотолерантные колиформные бактерии (ТКБ)	отс.	815	19
Общее микробное число (ОМЧ)	отс.	816	19
Остаточный хлор	0.26	817	19
Запах при 60C	1-2	818	19
Неизвестно (5147)	1	819	19
Неизвестно (5148)	Тинистый	820	19
Общие колиформные бактерии (ОКБ)	отс.	821	19
Неизвестно (1000)	Тинистый	822	24
Неизвестно (1001)	Тинистый	823	24
Запах при 20C	1	824	24
Неизвестно (1003)	19.6	825	24
Цветность	11	826	24
Мутность	<0.30	827	24
Водородный показатель (pH)	7.3	828	24
Железо общее	<0.05	829	24
Термотолерантные колиформные бактерии (ТКБ)	отс.	830	24
Общее микробное число (ОМЧ)	отс.	831	24
Остаточный хлор	0.36	832	24
Запах при 60C	1-2	833	24
Неизвестно (5147)	1	834	24
Неизвестно (5148)	Тинистый	835	24
