Строительный объект	"Зафиксирован повышенный уровень шума, обусловленный производством  		строительных работ в ночное время"	Минская ул. - Мосфильмовская ул.	23.05.2018	2	"ОАТИ г. Москвы применены штрафные санкции в отношении виновных лиц.  		Управлением государственного экологического контроля Департамента  		природопользования и охраны окружающей среды г. Москвы ведется  		административное расследование"	118	43
Строительный объект	В период проведения измерений работы не проводились.	Очаковская Б. ул., вл. 1, 3, корп. 12 и корп. 13	06.06.2018	1	 	119	98
Другие источники	В период проведения измерений работы не проводились.	Кастанаевская ул., д. 60	28.06.2018	1	 	120	46
Строительный объект	В период проведения измерений работы не проводились.	Рублевское шоссе, д. 127 (заявитель)	05.07.2018	1	 	121	13
Строительный объект	В период проведения измерений работы не проводились.	Солнцевский пр-т, д. 19	16.07.2018	1	 	122	7
Строительный объект	В период проведения измерений работы не проводились.	Вернадского пр-т (напротив) д. 127	17.07.2018	2	 	123	96
Строительный объект	В период проведения измерений работы не проводились.	Мичуринский пр-т, д.9	29.07.2018	2	 	124	43
Строительный объект	В период проведения измерений работы не проводились.	Мичуринский пр-т, д. 6, корп. 1	30.07.2018	1	 	125	43
Дорожные работы	В период проведения измерений работы не проводились.	Багрицкого ул., д. 24, корп. 1	30.07.2018	2	 	126	45
Строительный объект	В период проведения измерений работы не проводились.	Давыдковская ул., вл. 7	01.08.2018	3	 	128	46
Строительный объект	В период проведения измерений работы не проводились.	Гвардейская ул., д. 4	01.08.2018	3	 	129	45
Строительный объект	В период проведения измерений работы не проводились.	Славянский б-р, д. 3, соор. 1	01.08.2018	2	 	130	46
Строительный объект	В период проведения измерений работы не проводились.	Беловежская ул., д. 39	08.08.2018	2	 	131	45
Дорожные работы	В период проведения измерений работы не проводились.	Ярцевская ул., д. 11, корп. 1	20.08.2018	1	 	132	13
Строительный объект	В период проведения измерений работы не проводились.	Минская ул. - Мосфильмовская ул.	21.08.2018	1	 	133	43
Строительный объект	В период проведения измерений работы не проводились.	Давыдковская ул., д. 5	21.08.2018	1	 	134	46
Строительный объект	В период проведения измерений работы не проводились.	"Жукова Маршала проспект, вл. 37, корп. 2 (СЗАО, квартал 75 района  		Хорошево-Мневники, корп. 7)"	23.07.2018	3	 	139	50
Строительный объект	В период проведения измерений работы не проводились.	Хорошево-Мневники район, квартал 74, корпус 10	24.07.2018	2	 	140	50
Строительный объект	"Зафиксирован повышенный уровень шума, обусловленный производством  		строительных работ в ночное время"	Хорошево-Мневники район, кв. 74, корп. 13, 14	30.07.2018	3	"Информация о факте нарушения направлена в ОАТИ г. Москвы и Управление  		государственного экологического контроля Департамента природопользования  		и охраны окружающей среды г. Москвы для привлечения виновных лиц к  		административной ответственности и пресечения данного правонарушения"	141	50
Строительный объект	В период проведения измерений работы не проводились.	Народного ополчения ул., вл. 33, к. 1А	09.08.2018	3	 	142	50
Строительный объект	В период проведения измерений работы не проводились.	Кривоарбатский пер., вл. 4, стр. 4	05.02.2018	1	 	143	49
Строительный объект	"Зафиксирован повышенный уровень шума, обусловленный производством  		строительных работ в ночное время"	Пречистенская наб., вл. 5-7	13.03.2018	1	"ОАТИ г. Москвы применены штрафные санкции в отношении виновных лиц.  		Управлением государственного экологического контроля Департамента  		природопользования и охраны окружающей среды г. Москвы ведется  		административное расследование"	144	26
Строительный объект	В период проведения измерений работы не проводились.	Плотников пер., д. 1/2, район Хамовники, ЦАО	13.03.2018	1	 	145	26
Строительный объект	В период проведения измерений работы не проводились.	Пироговская Малая ул., вл. 8, стр. 1,2,3	08.04.2018	3	 	146	26
Строительный объект	В период проведения измерений работы не проводились.	Толмачевский М. пер. (Третьяковская галерея)	09.04.2018	1	 	147	2
Строительный объект	В период проведения измерений работы не проводились.	Пироговская Малая ул., вл. 8, стр. 1,2,3	30.04.2018	3	 	148	26
Строительный объект	"Зафиксирован повышенный уровень шума, обусловленный производством  		строительных работ в ночное время"	Маросейка ул., д. 17/6	22.05.2018	1	"ОАТИ г. Москвы применены штрафные санкции в отношении виновных лиц.  		Управлением государственного экологического контроля Департамента  		природопользования и охраны окружающей среды г. Москвы ведется  		административное расследование"	149	30
Строительный объект	"Зафиксирован повышенный уровень шума, обусловленный производством  		строительных работ в ночное время"	Сергея Макеева ул., вл. 9 ул. 2-я Черногрязская, вл. 6	04.06.2018	1	"ОАТИ г. Москвы применены штрафные санкции в отношении виновных лиц.  		Управлением государственного экологического контроля Департамента  		природопользования и охраны окружающей среды г. Москвы ведется  		административное расследование"	150	84
Строительный объект	В период проведения измерений работы не проводились.	Бакунинская ул., д. 62-68	05.06.2018	1	 	151	30
Дорожные работы	В период проведения измерений работы не проводились.	Хамовнический Вал ул., д. 32	05.06.2018	1	 	152	26
Строительный объект	В период проведения измерений работы не проводились.	Пироговская Малая ул., вл. 8, стр. 1,2,3	05.07.2018	3	 	153	26
Дорожные работы	В период проведения измерений работы не проводились.	Рабочая ул., д. 16	23.07.2018	1	 	154	53
Строительный объект	В период проведения измерений работы не проводились.	Товарищевский переулок, вл. 30, стр. 1, 1А, 9	24.07.2018	1	 	155	53
Строительный объект	В период проведения измерений работы не проводились.	"Ремонтно-реставрационные работы по фасадам и кровле объекта культурного  		наследия федерального значения &quot;Ансаль площади, XIX-XX вв. - Здание  		Ярославского вокзала, 1903-1904 гг., арх. Ф.О. Шехтель&quot;"	24.07.2018	2	 	156	80
Дорожные работы	В период проведения измерений работы не проводились.	Грохольский пер., д. 8	25.07.2018	1	 	157	64
Строительный объект	В период проведения измерений работы не проводились.	Капельский пер., д. 3	25.07.2018	1	 	158	64
Строительный объект	В период проведения измерений работы не проводились.	Сухаревская Б. пл., д. 3	06.08.2018	1	 	159	64
Дорожные работы	В период проведения измерений работы не проводились.	Яузская ул.,д . 6	07.08.2018	1	 	160	53
Строительный объект	В период проведения измерений работы не проводились.	Красина пер., д. 16, стр. 1	14.08.2018	1	 	167	84
Дорожные работы	В период проведения измерений работы не проводились.	Шаболовка ул., 15	14.08.2018	1	 	169	2
Ремонтные работы	В период проведения измерений работы не проводились.	Нагорная ул., д. 35К1	08.02.2018	1	 	170	23
Дорожные работы	В период проведения измерений работы не проводились.	Медиков ул., д. 8	17.07.2018	1	 	173	85
Дорожные работы	"Зафиксирован повышенный уровень шума, обусловленный производством  		дорожных работ"	Ул. Татищева, д. 5	08.07.2018	1	"Информация о факте нарушения направлена в ОАТИ г. Москвы и Управление  		государственного экологического контроля Департамента природопользования  		и охраны окружающей среды г. Москвы для привлечения виновных лиц к  		административной ответственности и пресечения данного правонарушения"	175	31
Строительный объект	"Зафиксирован повышенный уровень шума, обусловленный производством  		строительных работ в ночное время"	Ломоносовский р-н, кв. 18, корп. 5 &quot;А&quot;	27.03.2018	6	"ОАТИ г. Москвы применены штрафные санкции в отношении виновных лиц.  		Управлением государственного экологического контроля Департамента  		природопользования и охраны окружающей среды г. Москвы ведется  		административное расследование"	177	4
Строительный объект	В период проведения измерений работы не проводились.	Марии Ульяновой ул., д. 33 (заявитель)	18.04.2018	2	 	178	4
Строительный объект	"Зафиксирован повышенный уровень шума, обусловленный производством  		строительных работ в ночное время"	Одесская ул., вл. 2	18.04.2018	2	"ОАТИ г. Москвы применены штрафные санкции в отношении виновных лиц.  		Управлением государственного экологического контроля Департамента  		природопользования и охраны окружающей среды г. Москвы ведется  		административное расследование"	179	87
